date,target,days_to_news,open,high,low,close,vol,signed_volume,zero_vol_mins_count,significant_mins_count,max_signed_volume,trade_value,trade_value_std,RSI_above_80_count,RSI_below_20_count,avg_price,max_box_cross_2p_count,price_cross_bb,30d_avg_trade_value,trade_val_ratio,body_vs_shadow,interaday_volatility,cloud_width_to_range,max_10_min_price_change_pos,max_10_min_price_change_neg,max_10_min_trade_Value,correlation,RSI
2017-09-27,0,0,136.00251698113206,136.05309433962265,134.03,134.03,72964545.99716482,-629469,70,0,1200000.000000008,9854087130,93763796.18,14,22,135.05308633569652,1,19,19733197151.666668,0.4993659696532106,0.9749999999999905,0.4067598460128933,3.560687007408587,0.009328358,-0.009005629,1938162585,0.13386837927742493,74.38556068
2017-10-02,0,0,133.6710012,133.6710012,128.31,128.31,162573415.7353285,-19774624,53,0,1931166.9999999537,21055004787,177498736.4,2,46,129.51074867786383,1,24,18789796290,1.1205552450816851,1,1.481176759389444,0.8369746576534631,0.005405405,-0.019409938,4901967421,0.9504881762733184,70.28301886792454
2017-10-03,0,0,126.94105387337792,131.1892803775069,125.98014549744396,128.61,136249040.26125497,56702112.99999994,63,0,22169856.00000007,17418631406,199807798.5138095,4,14,127.84406681030639,2,15,18960011961.166668,0.9187036085038512,0.32038835,1.2085617300404166,0.8613756857353054,0.019607843137254985,-0.01645768,3348176003,-0.739322063,68.10747663551403
2017-10-04,0,0,126.73786885245902,131.4918032786885,126.73786885245902,129.57,92029029.17341979,63449653.000000045,98,0,42030000.000000045,12011953804,274642972.73462105,14,27,130.52353058473147,1,20,18917514694,0.6349646874001522,0.5957446808510646,0.7814375152447601,0.9438544428894696,0.022788721514098297,-0.013250195,3726237069.0000005,0.6077698595258337,68.29268292682924
2017-10-07,0,0,129.47456,129.47456,124.467536,126.43999999999998,266720163.71401456,143801694.0000007,34,0,176160000.0000008,33540596987,424846708.4608964,1,42,125.75201109640605,3,28,19624016233,1.7091606829665953,0.6060606060606085,0.901332254,0.8514070778687887,0.033751962,-0.022864019,6891094005,0.38469265210302267,57.74542739828288
2017-10-08,0,0,124.4157551020408,125.42726530612244,120.36971428571428,123.91,243656148.0106529,39835832,41,0,32331572.000000335,29770808975,292381812.1,2,39,122.18369705860404,2,26,20137071868.933334,1.4784080410880993,0.1,1.2782051150649878,0.5192714342695999,0.026037429,-0.01701951,4394607152,0.5709594168957876,52.762619372441975
2017-10-09,0,0,123.91,125.5284163265306,122.39273469387754,123.91,109828373.01267049,34976699.000000216,67,0,15539370.999999922,13589878105,176579135.7,5,10,123.73740712185717,1,19,20303430487.633335,0.6693390121081997,0,0.6289605533132884,0.9797117886116337,0.016619375760032307,-0.020164609,2141123499.0000002,-0.453269118,50.26929982046677
2017-10-10,0,0,123.90573770491804,125.42295081967214,122.69196721311476,123.4,84112138.73581848,19829996.999999925,97,0,15000000.000000007,10385381239,139765915.96376917,9,30,123.47065946829228,0,18,20005442383,0.5191277973480225,0.18518518518518556,0.5504974107613464,1.2482149640446663,0.012903225806451599,-0.014314928,2352450080,0.2060341569445713,47.20588235294118
2017-10-11,0,0,124.06034907597537,126.28564681724846,122.9477002053388,123.15,143595894.6406821,28298647.00000002,100,0,19081999.999999903,17780986308,222130456.8839432,4,26,123.82656448844239,0,19,20028596261.466667,0.8877799560126498,0.2727272727272727,0.5956433157969977,1.3390196872348983,0.020024028834601488,-0.01504065,3860987332,0.096905589,43.87245485977718
2017-10-14,0,0,126.43999999999998,126.94576,124.92271999999998,126.43999999999998,106397738.05757673,39751323.99999972,91,0,15213698.999999741,13397968272,220304433.91645727,23,18,125.92343142435735,1,23,20187413208,0.6636793002791663,0,0.452333351,2.3161076784108268,0.010799999999999841,-0.008090615,3471808674,-0.620555541,38.639227215455655
