iter	Passed	Remaining
694	6744	8782
695	6755	8774
696	6765	8764
697	6775	8755
698	6784	8744
699	6792	8733
700	6801	8722
701	6810	8712
702	6820	8703
703	6830	8692
704	6839	8683
705	6848	8671
706	6857	8661
707	6866	8651
708	6875	8640
709	6884	8629
710	6892	8618
711	6901	8607
712	6910	8596
713	6921	8588
714	6929	8577
715	6938	8566
716	6947	8556
717	6956	8545
718	6966	8535
719	6974	8524
720	6983	8514
721	6993	8503
722	7003	8494
723	7012	8484
724	7021	8474
725	7031	8465
726	7040	8453
727	7049	8444
728	7058	8432
729	7068	8424
730	7078	8415
731	7087	8404
732	7096	8394
733	7104	8382
734	7114	8372
735	7122	8361
736	7132	8351
737	7143	8343
738	7152	8332
739	7161	8322
740	7169	8311
741	7178	8300
742	7187	8289
743	7197	8280
744	7205	8269
745	7215	8259
746	7225	8251
747	7234	8240
748	7245	8232
749	7255	8222
750	7264	8212
751	7273	8202
752	7281	8190
753	7291	8181
754	7301	8171
755	7310	8161
756	7319	8150
757	7329	8141
758	7338	8131
759	7348	8121
760	7357	8111
761	7365	8099
762	7375	8091
763	7384	8079
764	7393	8069
765	7401	8059
766	7410	8048
767	7419	8037
768	7427	8026
769	7437	8016
770	7445	8005
771	7454	7995
772	7464	7985
773	7472	7974
774	7481	7964
775	7491	7955
776	7501	7945
777	7510	7935
778	7520	7926
779	7528	7914
780	7538	7905
781	7548	7895
782	7557	7885
783	7565	7873
784	7572	7862
785	7582	7852
786	7591	7842
787	7601	7832
788	7609	7821
789	7620	7813
790	7630	7803
791	7639	7794
792	7649	7784
793	7657	7773
794	7666	7763
795	7675	7752
796	7684	7742
797	7694	7733
798	7703	7722
799	7714	7714
800	7722	7703
801	7731	7693
802	7740	7682
803	7749	7672
804	7759	7663
805	7768	7652
806	7778	7643
807	7786	7632
808	7795	7622
809	7804	7612
810	7815	7603
811	7824	7593
812	7834	7583
813	7844	7574
814	7852	7563
815	7861	7553
816	7870	7543
817	7880	7533
818	7894	7528
819	7904	7518
820	7915	7510
821	7926	7502
822	7935	7492
823	7947	7484
824	7957	7475
825	7967	7465
826	7978	7457
827	7987	7447
828	7996	7436
829	8007	7428
830	8017	7418
831	8027	7410
832	8037	7401
833	8047	7391
834	8056	7381
835	8065	7370
836	8075	7361
837	8084	7351
838	8093	7340
839	8102	7331
840	8110	7320
841	8120	7310
842	8128	7299
843	8138	7289
844	8146	7279
845	8155	7268
846	8164	7258
847	8173	7248
848	8182	7238
849	8191	7228
850	8200	7217
851	8209	7207
852	8218	7197
853	8227	7187
854	8237	7177
855	8246	7167
856	8254	7156
857	8264	7146
858	8272	7136
859	8282	7126
860	8290	7115
861	8299	7105
862	8308	7095
863	8318	7086
864	8326	7075
865	8333	7062
866	8341	7052
867	8350	7042
868	8359	7031
869	8368	7021
870	8377	7011
871	8385	7000
872	8395	6991
873	8404	6981
874	8413	6971
875	8421	6960
876	8431	6951
877	8440	6940
878	8448	6929
879	8456	6919
880	8465	6909
881	8475	6899
882	8483	6888
883	8493	6879
884	8502	6868
885	8511	6859
886	8520	6848
887	8530	6839
888	8539	6829
889	8549	6820
890	8558	6810
891	8566	6799
892	8576	6789
893	8584	6779
894	8594	6770
895	8602	6759
896	8611	6748
897	8621	6739
898	8629	6728
899	8639	6719
900	8648	6709
901	8657	6699
902	8665	6688
903	8675	6679
904	8684	6669
905	8694	6659
906	8705	6651
907	8713	6640
908	8723	6631
909	8731	6620
910	8740	6610
911	8748	6600
912	8758	6590
913	8766	6579
914	8774	6569
915	8784	6559
916	8793	6549
917	8804	6540
918	8812	6529
919	8821	6520
920	8830	6510
921	8838	6499
922	8846	6488
923	8855	6478
924	8864	6468
925	8873	6458
926	8883	6449
927	8891	6438
928	8902	6429
