event_id,raceId,driverId,constructorId,circuitId,year,round,race_name,constructor_name,circuit_name,pit_lap,stop_number,stop_duration_ms,race_total_laps,grid_position,current_position,driver_champ_points,constructor_champ_points,lap_time_delta_ms,laps_since_last_pit,laps_remaining,approx_gap_ahead_s,approx_gap_behind_s,safety_car_likely,recent_pace_delta_ms,position_change_from_grid,same_lap_pitters,pit_window_density,stint_extension_laps,race_progress,stint_fraction,pressure_index,strategy
1011_832_1,1011,832,1,3,2019,2,Bahrain Grand Prix,McLaren,Bahrain International Circuit,4,1,45543,57,7,18,0.0,0.0,36468,4.0,53,23.711,21.913,0,1171.6666666666715,-11,0,0,-9.0,0.07017543859649122,0.07017543859649122,0.08411115443066342,Standard
1011_841_1,1011,841,51,3,2019,2,Bahrain Grand Prix,Alfa Romeo,Bahrain International Circuit,16,1,27725,57,16,10,0.0,4.0,4706,16.0,41,2.715,0.294,0,1423.3333333333285,6,0,1,3.0,0.2807017543859649,0.2807017543859649,1.0419765310855984,Undercut
1011_844_2,1011,844,6,3,2019,2,Bahrain Grand Prix,Ferrari,Bahrain International Circuit,36,2,24358,57,1,1,10.0,22.0,6533,23.0,21,,22.047,0,2967.6666666666715,0,0,3,5.0,0.631578947368421,0.40350877192982454,,Standard
1012_830_2,1012,830,9,17,2019,3,Chinese Grand Prix,Red Bull,Shanghai International Circuit,34,2,22365,56,5,5,27.0,31.0,5381,17.0,22,1.658,19.223,0,1053.6666666666715,0,0,1,0.5,0.6071428571428571,0.30357142857142855,0.4256713714320094,Standard
1012_841_1,1012,841,51,17,2019,3,Chinese Grand Prix,Alfa Romeo,Shanghai International Circuit,7,1,25184,56,19,17,0.0,10.0,4709,7.0,49,2.366,0.522,0,354.3333333333285,2,1,1,-4.5,0.125,0.125,0.954118755772926,Undercut
1012_842_3,1012,842,9,17,2019,3,Chinese Grand Prix,Red Bull,Shanghai International Circuit,53,3,22408,56,6,6,4.0,31.0,5807,14.0,3,38.739,31.263,0,1270.3333333333285,0,0,0,5.0,0.9464285714285714,0.25,0.056159454106956545,Standard
1013_154_1,1013,154,210,73,2019,4,Azerbaijan Grand Prix,Haas F1 Team,Baku City Circuit,34,1,20906,51,14,16,0.0,8.0,5084,34.0,17,2.732,36.253,0,477.6666666666715,-2,2,2,22.0,0.6666666666666666,0.6666666666666666,0.29479631599333994,Overcut
1014_1_2,1014,1,131,4,2019,5,Spanish Grand Prix,Mercedes,Circuit de Barcelona-Catalunya,46,2,22511,66,2,1,86.0,173.0,12851,19.0,20,,47.767,1,647.3333333333285,1,0,9,-1.0,0.696969696969697,0.2878787878787879,,Standard
1014_20_2,1014,20,6,4,2019,5,Spanish Grand Prix,Ferrari,Circuit de Barcelona-Catalunya,40,2,21643,66,3,4,52.0,99.0,4623,21.0,26,14.197,0.578,0,288.3333333333285,-1,0,0,1.0,0.6060606060606061,0.3181818181818182,0.6995160224822574,Standard
1014_825_1,1014,825,210,4,2019,5,Spanish Grand Prix,Haas F1 Team,Circuit de Barcelona-Catalunya,23,1,22025,66,8,7,8.0,8.0,4158,23.0,43,3.088,1.038,0,126.66666666667152,1,0,3,8.0,0.3484848484848485,0.3484848484848485,0.7352955297488616,Standard
1014_830_1,1014,830,9,4,2019,5,Spanish Grand Prix,Red Bull,Circuit de Barcelona-Catalunya,20,1,22417,66,4,4,51.0,64.0,4429,20.0,46,0.551,10.928,0,627.6666666666715,0,0,1,5.0,0.30303030303030304,0.30303030303030304,0.7285816770383745,Standard
1014_8_2,1014,8,51,4,2019,5,Spanish Grand Prix,Alfa Romeo,Circuit de Barcelona-Catalunya,45,2,22549,66,14,15,13.0,13.0,32242,17.0,21,24.306,77.315,1,842.3333333333285,-1,6,9,-3.0,0.6818181818181818,0.25757575757575757,0.052285266163773235,Standard
1015_1_1,1015,1,131,6,2019,6,Monaco Grand Prix,Mercedes,Circuit de Monaco,11,1,24266,78,1,1,112.0,217.0,33671,11.0,67,,8.049,1,399.3333333333285,0,0,3,-13.0,0.14102564102564102,0.14102564102564102,,Standard
1015_807_1,1015,807,4,6,2019,6,Monaco Grand Prix,Renault,Circuit de Monaco,9,1,25532,78,11,19,6.0,12.0,28502,9.0,69,13.939,12.466,0,901.0,-8,0,0,-15.0,0.11538461538461539,0.11538461538461539,0.14119998683293344,Standard
1015_815_1,1015,815,211,6,2019,6,Monaco Grand Prix,Racing Point,Circuit de Monaco,11,1,28463,78,16,17,13.0,17.0,44073,11.0,67,14.658,7.25,1,5430.0,-1,6,9,-13.0,0.14102564102564102,0.14102564102564102,0.1850772380852851,Standard
1016_815_1,1016,815,211,7,2019,7,Canadian Grand Prix,Racing Point,Circuit Gilles Villeneuve,11,1,24076,70,15,15,13.0,17.0,16854,11.0,59,3.79,4.946,0,803.3333333333285,0,0,1,-7.5,0.15714285714285714,0.15714285714285714,0.3769485564934796,Standard
1016_822_2,1016,822,131,7,2019,7,Canadian Grand Prix,Mercedes,Circuit Gilles Villeneuve,67,2,23456,70,6,4,120.0,257.0,16392,37.0,3,43.388,6.489,0,344.3333333333285,2,0,0,11.0,0.9571428571428572,0.5285714285714286,0.15605778746138052,Standard
1016_8_2,1016,8,51,7,2019,7,Canadian Grand Prix,Alfa Romeo,Circuit Gilles Villeneuve,58,2,24666,70,16,15,13.0,13.0,18583,52.0,12,2.188,29.327,0,815.0,1,0,0,26.0,0.8285714285714286,0.7428571428571429,0.34665020370392663,Standard
1017_815_1,1017,815,211,34,2019,8,French Grand Prix,Racing Point,Circuit Paul Ricard,18,1,37286,53,14,16,13.0,19.0,26954,18.0,35,5.815,4.022,0,508.3333333333285,-2,1,4,-10.0,0.33962264150943394,0.33962264150943394,0.345858998104598,Standard
1018_817_1,1018,817,4,70,2019,9,Austrian Grand Prix,Renault,Red Bull Ring,46,1,22305,71,12,11,16.0,32.0,4074,46.0,25,0.151,1.028,0,1027.6666666666715,1,0,0,26.0,0.647887323943662,0.647887323943662,1.3619063776117843,Standard
1018_826_1,1018,826,5,70,2019,9,Austrian Grand Prix,Toro Rosso,Red Bull Ring,32,1,25091,71,16,17,10.0,17.0,3519,32.0,39,6.778,22.65,0,530.0,-1,0,2,12.0,0.4507042253521127,0.4507042253521127,0.1708510533042457,Standard
1018_846_1,1018,846,1,70,2019,9,Austrian Grand Prix,McLaren,Red Bull Ring,25,1,21547,71,5,6,14.0,40.0,4914,25.0,46,2.417,4.164,0,344.3333333333285,-1,0,2,5.0,0.352112676056338,0.352112676056338,0.4863027098072312,Standard
1019_1_1,1019,1,131,9,2019,10,British Grand Prix,Mercedes,Silverstone Circuit,20,1,28905,52,2,1,197.0,363.0,7325,20.0,32,,22.181,1,430.3333333333285,1,0,1,1.0,0.38461538461538464,0.38461538461538464,,Standard
1019_817_2,1019,817,4,9,2019,10,British Grand Prix,Renault,Silverstone Circuit,20,2,28381,52,7,8,16.0,32.0,26009,8.0,32,11.318,8.439,1,245.0,-1,4,5,-4.0,0.38461538461538464,0.15384615384615385,0.1871254362769729,Standard
1019_822_2,1019,822,131,9,2019,10,British Grand Prix,Mercedes,Silverstone Circuit,45,2,28177,52,1,2,166.0,363.0,0,29.0,7,3.026,22.155,0,149.66666666667152,-1,0,0,17.0,0.8653846153846154,0.5576923076923077,0.2915727108710248,Standard
1019_844_1,1019,844,6,9,2019,10,British Grand Prix,Ferrari,Silverstone Circuit,13,1,28558,52,3,3,105.0,228.0,0,13.0,39,7.147,0.577,0,741.3333333333285,0,0,3,-6.0,0.25,0.25,0.7568599775572804,Standard
1020_1_3,1020,1,131,10,2019,11,German Grand Prix,Mercedes,Hockenheimring,29,3,69022,64,1,1,223.0,407.0,65956,1.0,35,,2.124,1,12166.0,0,0,12,-14.0,0.453125,0.015625,,Emergency
1020_20_3,1020,20,6,10,2019,11,German Grand Prix,Ferrari,Hockenheimring,28,3,22058,64,20,7,123.0,243.0,31789,5.0,36,0.591,1.733,1,10852.666666666672,13,3,11,-10.0,0.4375,0.078125,0.9944337925345252,Undercut
1020_822_4,1020,822,131,10,2019,11,German Grand Prix,Mercedes,Hockenheimring,46,4,21009,64,3,3,184.0,407.0,2545,16.0,18,1.938,0.878,0,34891.0,0,1,4,5.0,0.71875,0.25,0.8728489601570548,Undercut
1020_825_4,1020,825,210,10,2019,11,German Grand Prix,Haas F1 Team,Hockenheimring,42,4,20380,64,12,11,14.0,16.0,30998,13.0,22,9.1,6.743,1,10283.666666666672,1,0,5,2.0,0.65625,0.203125,0.22815880968182056,Standard
1020_830_2,1020,830,9,10,2019,11,German Grand Prix,Red Bull,Hockenheimring,25,2,19640,64,2,3,136.0,191.0,6613,22.0,39,4.229,0.836,0,2998.3333333333285,-1,0,3,2.0,0.390625,0.34375,0.7359034644647685,Standard
1020_844_2,1020,844,6,10,2019,11,German Grand Prix,Ferrari,Hockenheimring,15,2,22102,64,10,4,120.0,243.0,16230,12.0,49,8.863,12.556,1,916.3333333333285,6,0,0,-8.0,0.234375,0.1875,0.17515710288491432,Standard
1020_8_3,1020,8,51,10,2019,11,German Grand Prix,Alfa Romeo,Hockenheimring,28,3,21142,64,5,6,25.0,26.0,37574,2.0,36,18.562,0.591,1,18913.66666666667,-1,2,10,-13.0,0.4375,0.03125,0.679655029688198,Emergency
1021_817_1,1021,817,4,11,2019,12,Hungarian Grand Prix,Renault,Hungaroring,46,1,22498,70,20,12,22.0,39.0,3223,46.0,24,1.018,0.06,0,342.6666666666715,8,1,1,30.0,0.6571428571428571,0.6571428571428571,1.4389363651663332,Overcut
1021_830_2,1021,830,9,11,2019,12,Hungarian Grand Prix,Red Bull,Hungaroring,67,2,21164,70,1,2,162.0,217.0,6164,42.0,3,5.34,56.086,0,1701.6666666666715,-1,0,0,20.0,0.9571428571428572,0.6,0.17524613646729914,Standard
1021_9_1,1021,9,3,11,2019,12,Hungarian Grand Prix,Williams,Hungaroring,18,1,21754,70,19,17,1.0,1.0,2596,18.0,52,17.188,6.504,0,269.3333333333285,2,1,3,2.0,0.2571428571428571,0.2571428571428571,0.18824356648377077,Standard
1022_846_1,1022,846,1,13,2019,13,Belgian Grand Prix,McLaren,Circuit de Spa-Francorchamps,19,1,23182,44,11,5,24.0,82.0,4613,19.0,25,12.033,12.23,0,748.6666666666715,6,0,0,10.0,0.4318181818181818,0.4318181818181818,0.15231409494324513,Standard
1022_8_2,1022,8,51,13,2019,13,Belgian Grand Prix,Alfa Romeo,Circuit de Spa-Francorchamps,2,2,25005,44,6,18,31.0,32.0,13990,1.0,42,5.696,,1,0.0,-12,0,3,-13.0,0.045454545454545456,0.022727272727272728,,Emergency
1023_20_2,1023,20,6,14,2019,14,Italian Grand Prix,Ferrari,Autodromo Nazionale di Monza,12,2,31851,53,4,19,169.0,326.0,4592,6.0,41,15.73,6.966,0,119.66666666667152,-15,0,0,-14.0,0.22641509433962265,0.11320754716981132,0.18530638056930238,Standard
1023_825_2,1023,825,210,14,2019,14,Italian Grand Prix,Haas F1 Team,Autodromo Nazionale di Monza,34,2,24978,53,11,12,18.0,26.0,9523,14.0,19,7.806,1.502,0,1728.0,-1,0,0,-6.0,0.6415094339622641,0.2641509433962264,0.5132391928837126,Standard
1023_842_1,1023,842,5,14,2019,14,Italian Grand Prix,Toro Rosso,Autodromo Nazionale di Monza,28,1,24363,53,17,8,65.0,51.0,16509,28.0,25,4.316,7.514,1,177.66666666667152,9,2,7,7.0,0.5283018867924528,0.5283018867924528,0.3055649677519592,Standard
1024_825_1,1024,825,210,15,2019,15,Singapore Grand Prix,Haas F1 Team,Marina Bay Street Circuit,18,1,29403,61,13,12,18.0,26.0,8059,18.0,43,4.685,8.793,0,219.0,1,0,0,7.5,0.29508196721311475,0.29508196721311475,0.27801524988547005,Standard
1024_832_2,1024,832,1,15,2019,15,Singapore Grand Prix,McLaren,Marina Bay Street Circuit,35,2,30623,61,7,19,58.0,83.0,37682,35.0,26,107.747,,0,1740.3333333333285,-12,1,3,21.0,0.5737704918032787,0.5737704918032787,,Standard
1025_20_1,1025,20,6,71,2019,16,Russian Grand Prix,Ferrari,Sochi Autodrom,26,1,29860,53,3,2,194.0,394.0,5664,26.0,27,0.458,12.428,0,643.6666666666715,1,0,0,8.0,0.49056603773584906,0.49056603773584906,0.7603423103373456,Standard
1025_844_2,1025,844,6,71,2019,16,Russian Grand Prix,Ferrari,Sochi Autodrom,30,2,29401,53,1,3,200.0,394.0,59889,8.0,23,1.132,35.405,1,17715.33333333333,-2,0,6,-15.0,0.5660377358490566,0.1509433962264151,0.49651190626197417,Standard
1026_9_1,1026,9,3,22,2019,17,Japanese Grand Prix,Williams,Suzuka Circuit,22,1,26734,52,0,19,1.0,1.0,3723,22.0,30,27.58,,0,1152.3333333333285,-19,0,1,10.0,0.4230769230769231,0.4230769230769231,,Standard
1027_154_1,1027,154,210,32,2019,18,Mexican Grand Prix,Haas F1 Team,Autódromo Hermanos Rodríguez,37,1,24128,71,18,17,8.0,28.0,4286,37.0,34,12.372,4.326,0,805.6666666666715,1,2,4,22.5,0.5211267605633803,0.5211267605633803,0.26254129640639967,Overcut
1027_847_1,1027,847,3,32,2019,18,Mexican Grand Prix,Williams,Autódromo Hermanos Rodríguez,22,1,22887,71,19,17,0.0,1.0,2994,22.0,49,1.179,12.402,0,628.3333333333285,2,0,3,7.5,0.30985915492957744,0.30985915492957744,0.533541841891496,Standard
