event_id,raceId,driverId,constructorId,circuitId,year,round,race_name,constructor_name,circuit_name,pit_lap,stop_number,stop_duration_ms,race_total_laps,grid_position,current_position,driver_champ_points,constructor_champ_points,lap_time_delta_ms,laps_since_last_pit,laps_remaining,approx_gap_ahead_s,approx_gap_behind_s,safety_car_likely,recent_pace_delta_ms,position_change_from_grid,same_lap_pitters,pit_window_density,stint_extension_laps,race_progress,stint_fraction,pressure_index
1001_839_2,1001,839,10,13,2018,13,Belgian Grand Prix,Force India,Circuit de Spa-Francorchamps,24,2,23225,44,3,5,29.0,59.0,4217,23.0,20,10.47,1.78,0,163.0,-2,0,4,10.0,0.5454545454545454,0.5227272727272727,0.4468961883675274
1001_840_1,1001,840,3,13,2018,13,Belgian Grand Prix,Williams,Circuit de Spa-Francorchamps,1,1,19732,44,17,11,4.0,4.0,0,1.0,43,1.05,1.16,0,,6,10,10,-8.0,0.022727272727272728,0.022727272727272728,0.9507678410117435
1001_840_2,1001,840,3,13,2018,13,Belgian Grand Prix,Williams,Circuit de Spa-Francorchamps,23,2,22901,44,17,13,4.0,4.0,4401,22.0,21,0.217,8.674,0,39.0,4,1,4,9.0,0.5227272727272727,0.5,0.9250625442846832
1001_842_1,1001,842,5,13,2018,13,Belgian Grand Prix,Toro Rosso,Circuit de Spa-Francorchamps,1,1,20136,44,10,8,26.0,28.0,0,1.0,43,2.385,1.114,0,,2,7,7,-8.0,0.022727272727272728,0.022727272727272728,0.7684578717671737
1001_842_2,1001,842,5,13,2018,13,Belgian Grand Prix,Toro Rosso,Circuit de Spa-Francorchamps,25,2,22953,44,10,10,26.0,28.0,4858,24.0,19,0.235,12.014,0,131.66666666667152,0,1,5,11.0,0.5681818181818182,0.5454545454545454,0.8865569249932649
1001_843_1,1001,843,5,13,2018,13,Belgian Grand Prix,Toro Rosso,Circuit de Spa-Francorchamps,1,1,18084,44,11,13,2.0,28.0,0,1.0,43,2.392,1.327,0,,-2,11,11,-8.0,0.022727272727272728,0.022727272727272728,0.7245491806601747
1001_843_2,1001,843,5,13,2018,13,Belgian Grand Prix,Toro Rosso,Circuit de Spa-Francorchamps,31,2,29316,44,11,13,2.0,28.0,4884,30.0,13,2.395,0.24,0,897.6666666666715,-2,0,1,17.0,0.7045454545454546,0.6818181818181818,1.1010024229179534
1001_845_1,1001,845,3,13,2018,13,Belgian Grand Prix,Williams,Circuit de Spa-Francorchamps,1,1,19791,44,16,10,0.0,4.0,0,1.0,43,1.493,1.05,0,,6,9,9,-8.0,0.022727272727272728,0.022727272727272728,0.8889280228542358
1001_845_2,1001,845,3,13,2018,13,Belgian Grand Prix,Williams,Circuit de Spa-Francorchamps,24,2,22339,44,16,11,0.0,4.0,3959,23.0,20,8.916,1.677,0,169.33333333332848,5,1,5,10.0,0.5454545454545454,0.5227272727272727,0.4743995998965083
1001_8_1,1001,8,6,13,2018,13,Belgian Grand Prix,Ferrari,Circuit de Spa-Francorchamps,1,1,26367,44,6,17,146.0,335.0,0,1.0,43,35.154,,0,,-11,15,15,-8.0,0.022727272727272728,0.022727272727272728,
1001_8_2,1001,8,6,13,2018,13,Belgian Grand Prix,Ferrari,Circuit de Spa-Francorchamps,7,2,35451,44,6,16,146.0,335.0,8007,6.0,37,5.565,215.149,0,18715.666666666657,-10,0,0,-7.0,0.1590909090909091,0.13636363636363635,0.1569493628441414
1002_154_1,1002,154,210,14,2018,14,Italian Grand Prix,Haas F1 Team,Autodromo Nazionale di Monza,23,1,24779,53,6,7,27.0,76.0,4672,23.0,30,2.783,2.853,0,217.33333333332848,-1,0,0,2.5,0.4339622641509434,0.4339622641509434,0.5238784928463074
1002_1_1,1002,1,131,14,2018,14,Italian Grand Prix,Mercedes,Autodromo Nazionale di Monza,28,1,23728,53,3,1,231.0,375.0,4565,28.0,25,,11.844,0,988.3333333333285,2,0,1,7.5,0.5283018867924528,0.5283018867924528,
1002_20_1,1002,20,6,14,2018,14,Italian Grand Prix,Ferrari,Autodromo Nazionale di Monza,1,1,32219,53,2,18,214.0,360.0,0,1.0,52,1.709,13.398,0,,-16,2,2,-19.5,0.018867924528301886,0.018867924528301886,0.4385939948695758
1002_20_2,1002,20,6,14,2018,14,Italian Grand Prix,Ferrari,Autodromo Nazionale di Monza,29,2,24301,53,2,5,214.0,360.0,4974,28.0,24,1.007,1.273,0,244.66666666667152,-3,0,1,8.5,0.5471698113207547,0.5283018867924528,0.9382033099725094
